,Rank,Station ID,Company Name,Location,Domain,Branch Preferences,Facilities,Projects
49,11,5768,National Chemical Laboratory-Computer science,Pune,Govt Research Lab,A7,Unavailable,"Project: 0
Title: Data analysis and programming
Description: Computational algorithm of data

Skills:  - 
Students Required: 1
Min CGPA: 0
Max CGPA: 0

"
52,12,5920,National Institute of Oceanography -Machine Learning/DSP/AI,Goa,Computer Science,"A3 , A8 , AA",Unavailable,"Project: 0
Title: 1) Marine Ambient noise signal processing
Description: -
Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: 1) Sound based Classification of underwater Organism
Description: -
Skills:  - 
Students Required: 1
Min CGPA: 0
Max CGPA: 0

"
6,13,5514,CDAC- Web Deveopment,Pune,IT,Any,Unavailable,"Project: 0
Title: Interactive web interface for Machine Learning services
Description: Front end development for a application in React JS . API to fetch image/document data from client .Saving the data into database SQL/NoSQL .API creation in Flask/Django . * outcomes : Web portal for uploading documents .API endpoints which takes doc/image as input and give to ML pipeline . * Other competencies : Pycharm, VS Code *Any specific courses :- Data Structure & Algorithms, Python Programming, Web development, Database management

Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

"
84,14,4565,William O Neil - Data Analytics,Bangalore,Finance and Mgmt,Any,"Status: Active
Accomodation: Not Applicab",
35,15,5989,Indira Gandhi Centre for Atomic Research (IGCAR),Kalpakkam,Govt Research Lab,"A1 , A2 , A3 , A4 , A7 , A8 , AA , AB , B2 , B5",Unavailable,"Project: 0
Title: Will be updated
Description: Will be updated
Skills:  - 
Students Required: 50
Min CGPA: 0
Max CGPA: 0

"
0,16,5502,Afour tech -Mobile App development,Pune,IT,Any,Unavailable,"Project: 0
Title: Design and implementation that caters to the given requirements
Description: â€¢ Design and implementation that caters to the given requirementsâ€¢ Good quality codeâ€¢ Timely deliverablesâ€¢ Timely availability for the meetings/calls. â€¢Proactive communication specific courses Programming of following (Python, Java, C#, Javascript, React, Angular, Mobile App Development), REST API Development, Microservices Architecture

Skills:  - 
Students Required: 10
Min CGPA: 0
Max CGPA: 0

"
18,17,5694,COUTURE AI- Machine Learning/Deep Learning,Bangalore,IT,Any,Unavailable,"Project: 0
Title: -
Description: -
Skills:  - 
Students Required: 5
Min CGPA: 0
Max CGPA: 0

"
16,18,5527,Coffee Beans- AI,Bengaluru,IT,"A7 , C6",Unavailable,"Project: 0
Title: WRU
Description: AI driven hyper personalization recommendation engine

Skills:  - 
Students Required: 5
Min CGPA: 0
Max CGPA: 0

"
20,19,5935,CSIR-National Aerospace Laboratories - Machine Learning/DSP/AI,Pilani,Electronics,"A3 , A7",Unavailable,"Project: 0
Title: Deep learning technique based design of low observable structures
Description: -
Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0

"
48,20,5570,"National Centre For Polar And Ocean Research- Data Analytics, Machine Learning",Goa,IT,"B4 , AnyB5",Unavailable,"Project: 0
Title: Data Analytics using Machine /Deep Learning models for Weather Datasets
Description: 1) Weather time series/ spatial datasets (Ocean and Atmospheric) analytics using various Machine Learning (ML) and Deep Learning (DL) techniques/ Models. To develop a ML/DL model for forecasting / prediction of weather parameter. Weather Datasets products and model / algorithm.

Skills:  - 
Students Required: 8
Min CGPA: 0
Max CGPA: 0

"
5,21,3587,Cateina Technologies Pvt. Ltd.,Mumbai,IT,"A7 , C6","Stationary: -
SubsidizedLunch: -
StipendForPG: 0
StartTime:  9:00AM
Status: Active
Accomodation: Not Applicable
FieldDA: -
FieldTA: -
Stipend: 0
ContactDetailsForGirls: 
CompanyId: 3304
TillTime:  6:00PM
OnOffice: -
Travel: -
Weekdays: 
StationFacilitiesId: 9239
RemarkforAccommodation: Not Applicable
AccomAddressforGirls: Not Applicable
ToOffice: -
Medical: -
ContactDetailsForBoys: 
AccomAddressforBoys: Not Applicable
FacultyId: 0
StationAddress: Shop No. 7,8, JK Tower, Ground Floor, Phirojshah Nagar Road, Vikhroli (East), Mumbai, Maharashtra 400083
OtherInfo: Indemnity bond, NDA
","Project: 0
Title: -
Description: -
Skills:  - 
Students Required: 15
Min CGPA: 0
Max CGPA: 0

"
56,22,5613,North Eastern Space - Compiler Design/Geo Processing/Machine Learning,Umiam,IT,"A3 , A7 , A8 , AA",Unavailable,"Project: 0
Title: Geoprocessing of EO datasets at scale
Description: The students will be required to build an architecture to process terabytes EO dataset at scale.The platform should also have its own compiler designed by the students to implement a custom ML algorithm.Basic knowledge about Remote Sensing, Satellite data processing, Report writing.Platform to deploy geo processing algorithm at scale Compiler designed to write own geo processing algorithm.Skills Requirements :Python, Django, Javascript,PostgreSQL.Expected outcomes: Platform to deploy geoprocessing algorithm at scaleCompiler designed to writeown geo processing algorithm

Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0

"
57,23,5611,North Eastern Space - Deep Learning/Machine Learning,Umiam,IT,"A3 , A7 , A8 , AA",Unavailable,"Project: 0
Title: 3D Semantic segmentation of Aerial data
Description: Development of DL pipline for 3D semantic segmentation task . Web based/Desktop based visualization of results.Web based/Desktop toolSkill sets: Python. Expected outcomes: Webbased/Desktoptool

Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

"
58,24,5609,North Eastern Space - Software Development,Umiam,IT,"A3 , A7 , A8 , AA",Unavailable,"Project: 0
Title: Large scale Temporal vegetation change analysis
Description: Development of a temporal vegetation monitoring system for the North Eastern Region of India *Web based/Desktop based visualization of results.Skill sets: Python/JavaScriptExpected outcomes:Web based appfor decisionmakers to assessdamage and aiddecision support

Skills:  - 
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: Deep learning tools development for various vision tasks
Description: Integration of already developed NESAC models to web platform.*Development of new models pipeline for several vision tasks.*Interactive web tools development for end users.*Development of visualization tool.Web based platform and tools.Skill sets: Python, WebTechnologyExpected outcomes: Web basedplatform andtools

Skills:  - 
Students Required: 3
Min CGPA: 0
Max CGPA: 0

"
53,25,5615,NIC- Mobile App development,Hyderabad,IT,Any,Unavailable,"Project: 0
Title: Android Mobile App Development
Description: Mobile App Development for scanning documents. Advanced Java, Hibernate, Web ServicesSkill Set Req. Good knowledge of SQL

Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: Android Mobile App Development for Agriculture Dept
Description: Skills Req. Advanced Java, Hibernate, Web ServicesOther Competenceis: Good knowledge of SQL

Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

"
54,26,5677,NIC- Public Distribution System Operations,Hyderabad,IT,A7,Unavailable,"Project: 0
Title: ePDS App development
Description: App development

Skills:  - 
Students Required: 10
Min CGPA: 0
Max CGPA: 0

"
55,27,5614,NIC-Web development,Hyderabad,IT,Any,Unavailable,"Project: 0
Title: Testing Tools
Description: To develop tool for GIGW compliance Skills Required: Python, Django, JavaOther Competencies: Good knowledge of SQL

Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: Quiz Portal
Description: Quiz Portal where graphic quizzes can be created by Admins /Teachers and students can learn. Other Competencies: Good knowledge of SQLSkills Req. Python, Django, Mapbox

Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

"
13,28,4148,Centre for Development of Advanced computing (C-DAC),Pune,Computer Science,Any,"StartTime:  9:00AM
FieldDA: -
Weekdays: 
StationAddress: C-DAC 
Pune 
Stipend: 0
StipendForPG: 0
ContactDetailsForBoys: 
OnOffice: -
ToOffice: -
Stationary: -
Accomodation: Not Applicable
Medical: -
StationFacilitiesId: 9164
ContactDetailsForGirls: 
AccomAddressforGirls: Not Applicable
FacultyId: 0
CompanyId: 3858
TillTime:  6:00PM
FieldTA: -
RemarkforAccommodation: Not Applicable
AccomAddressforBoys: Not Applicable
Status: Active
SubsidizedLunch: -
Travel: -
OtherInfo: Students will have to sign a declaration (copy enclosed)
","Project: 0
Title: Interactive web interface for Machine Learning services
Description:  Front end development for a application in React JS . API to fetch image/document data from client .Saving the data into database SQL/NoSQL .API creation in Flask/Django .  * outcomes : Web portal for uploading documents .API endpoints which takes doc/image as input and give to ML pipeline . * 
Other competencies : Pycharm, VS Code 
*Any specific courses :- Data Structure & Algorithms, Python Programming, Web development, Database management
Skills: Django , Flask , JavaScript. HTML, CSS , React JS , UI/UX design
Students Required: 2
Min CGPA: 0
Max CGPA: 0

"
14,29,1409,Centre for Development of Telemetics (CDot),New delhi,Computer Science,"A3 , AA","Stipend: 0
TillTime:  5:00PM
Status: Active
Accomodation: Not Applicable
OnOffice: -
FieldDA: -
FieldTA: -
Travel: -
OtherInfo: -
RemarkforAccommodation: Not Applicable
Stationary: -
SubsidizedLunch: -
ContactDetailsForBoys: 
FacultyId: 0
CompanyId: 1160
StartTime:  9:00AM
ToOffice: -
Medical: -
Weekdays: 
StationAddress: 
StationFacilitiesId: 9240
StipendForPG: 0
ContactDetailsForGirls: 
AccomAddressforBoys: Not Applicable
AccomAddressforGirls: Not Applicable
","Project: 0
Title: -
Description: -
Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0

"
8,30,5914,CEERI Pilani - Embedded Systems/IoT,Pilani,Electronics,"A3 , A8 , AA",Unavailable,"Project: 0
Title: &Double;Development of Green Technology  for Waste Management&Double;
Description: -
Skills:  - 
Students Required: 3
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: Design of Optical Sources (LEDs) and Detectors for Health Sensor Applications
Description: -
Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

Project: 2
Title: &Double;Smart Controller for Agri Applications  Smart Water Dispenser System &Double;
Description: -
Skills:  - 
Students Required: 3
Min CGPA: 0
Max CGPA: 0

Project: 3
Title: Spatial Soundscape recreation using binaural audio synthesis
Description: -
Skills:  - 
Students Required: 3
Min CGPA: 0
Max CGPA: 0

Project: 4
Title: &Double;Development of Conversion and amplifier Circuits to detect and measure RF Radiation intensity present in the ambiance Development of read-out circuit using Arduino for portable RF Radiation Intensity meter&Double;
Description: -
Skills:  - 
Students Required: 3
Min CGPA: 0
Max CGPA: 0

Project: 5
Title: &Double;Advanced Closed loop Control System to improve battery performance and longevity for electric Tricycle IOT and AI based smart water grid Community usage&Double;
Description: -
Skills:  - 
Students Required: 5
Min CGPA: 0
Max CGPA: 0

"
11,31,5929,CEERI Pilani - VLSI Design/Circuit Design,Pilani,Electronics,"A3 , A4 , A7 , A8 , AA",Unavailable,"Project: 0
Title: &Double;Design and Investigation of Piezoelectric Lorentz force Magnetometer Design and Investigation of LTCC Based Micro strip Antenna&Double;
Description: -
Skills:  - 
Students Required: 3
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: Development of Flexible capacitive Tactile Sensors for Electronics Skin (E-skin) applications
Description: -
Skills:  - 
Students Required: 3
Min CGPA: 0
Max CGPA: 0

Project: 2
Title: &Double;Design and simulation of thermopile-based IR detector  CMOS compatible pyroelectric Materials for gas sensors &Double;
Description: -
Skills:  - 
Students Required: 3
Min CGPA: 0
Max CGPA: 0

Project: 3
Title: Design of GaN/InGaN blue LED
Description: -
Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

Project: 4
Title: Numerical Analysis of Microfluidic Devices for lab-on ci applications
Description: -
Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

Project: 5
Title: &Double;AR-VR Virtual Labs. - Implementation of RISC-V based Systems on FPGAs &Double;
Description: -
Skills:  - 
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 6
Title: &Double;Development of Conversion and amplifier Circuits to detect and measure RF Radiation intensity present in the ambiance Development of read-out circuit using Arduino for portable RF Radiation Intensity meter&Double;
Description: -
Skills:  - 
Students Required: 3
Min CGPA: 0
Max CGPA: 0

"
62,32,2663,Regional Remote Sensing Centre,Jodhpur,Computer Science,"A3 , A7 , A8 , AA","RemarkforAccommodation: Not Applicable
Medical: -
Weekdays: 
OtherInfo: -
StationFacilitiesId: 9146
AccomAddressforBoys: Not Applicable
AccomAddressforGirls: Not Applicable
TillTime:  5:00PM
Accomodation: Not Applicable
FieldDA: -
Stationary: -
SubsidizedLunch: -
Stipend: 0
ContactDetailsForGirls: 
StartTime:  9:00AM
Status: Active
Travel: -
StipendForPG: 0
ContactDetailsForBoys: 
FacultyId: 0
CompanyId: 2390
OnOffice: -
ToOffice: -
FieldTA: -
StationAddress: Regional Remote Sensing Centre (RRSC) -West.
Indian Space Research Organisation
Dept. of Space, Govt. Of India
New ISRO Complex, 9 Sector,
Kuri Bhagtasani Housing Board
JODHPUR -342 005
","Project: 0
Title: -
Description: -
Skills:  - 
Students Required: 10
Min CGPA: 0
Max CGPA: 0

"
15,33,3653,Centre for Railway Information Systems,New delhi,Computer Science,Any,"FieldDA: -
StationAddress: CRIS, Chanakyapuri, New Delhi - 110021

4A Ring Road, 9th Floor, ITPI Building I.P. Estate, New Delhi - 110002
ContactDetailsForBoys: 
AccomAddressforGirls: Not Applicable
FacultyId: 0
CompanyId: 3370
SubsidizedLunch: -
ContactDetailsForGirls: 
Status: Active
Accomodation: Not Applicable
FieldTA: -
Stationary: -
Travel: -
Weekdays: 
StipendForPG: 0
AccomAddressforBoys: Not Applicable
OnOffice: -
Medical: -
TillTime:  5:00PM
ToOffice: -
OtherInfo: -
StationFacilitiesId: 9478
Stipend: 0
RemarkforAccommodation: Not Applicable
StartTime:  9:00AM
","Project: 0
Title: -
Description: -
Skills: AI and ML , Cloud , CS Concepts , Data Analytics , Flutter , HTML 5 , J2EE , NLP
Students Required: 10
Min CGPA: 0
Max CGPA: 0

"
43,34,5618,L & T Infotech - Web Development,Mumbai,IT,"A7 , AnyA7 , AnyC6",Unavailable,"Project: 0
Title: Web development / Java
Description: The associates are expected to support in an internal portaldevelopment. They will be involved in dev and test of websitecoding and the functionalities. The key skills includeHTML,CSS,JS, JSP & Java

Skills:  - 
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: Java Programming language, AngularJS or React, Python
Description: Good Communication Skills and Programming skills speciallyon UI front end side. Hence BTech with IT or ComputerScience is preferred.

Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

Project: 2
Title: Front-End (HTML/CSS/ReactJS)
Description: Students with some hands-on or knowledge in UI would bebetter. Also with some hands-on else with specific trainingsscheduled can only be utilized

Skills:  - 
Students Required: 3
Min CGPA: 0
Max CGPA: 0

"
41,35,5622,L & T Infotech - Data Analytics,Mumbai,IT,"C6 , AnyA7",Unavailable,"Project: 0
Title: Basic Technology capabilities, Data analysis, Visualization tools like Tableau, Sisense
Description: Click through prototypes, Market research, Projectdocumentation

Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

"
42,36,5621,L & T Infotech - Machine Learning,Mumbai,IT,"C6 , AnyA7",Unavailable,"Project: 0
Title: AI/ML, Deep Learning, Kaggle, Python
Description: Data Engineer with responsibility of determining algorithms,experimenting and building AI model and to orchestrate thedeployment and management of model in PROD

Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

"
40,37,5623,L & T Infotech - Business Intelligence,Mumbai,IT,"C6 , AnyA7",Unavailable,"Project: 0
Title: BI & Data Analytics
Description: BI Development - To analyze internal data and build businessdashboards using Power BI

Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

"
75,38,5599,UST Global - Machine Learning,Trivandrum,IT,Any,Unavailable,"Project: 0
Title: Datascience
Description: Application of Data Science and Machine Learning techniques to improve production, supply chain, sales, marketing and retail strategies of Fast Moving Consumer Goods (FMCG).

Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: AI/ML-
Description: Analysis on dataset formats, architecture backbones, saved model formats, performance, etc. of available object detection models. Identifying and automating stages like annotation, training, comparison, testing and prediction API deployment.Research and documentation of current state of the art models and methodologies in NLP, Speech and Computer Vision. Hands on task at the end for their experience.

Skills:  - 
Students Required: 6
Min CGPA: 0
Max CGPA: 0

"
76,39,5599,UST Global - Machine Learning,Trivandrum,IT,Any,Unavailable,"Project: 0
Title: Datascience
Description: Application of Data Science and Machine Learning techniques to improve production, supply chain, sales, marketing and retail strategies of Fast Moving Consumer Goods (FMCG).

Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: AI/ML-
Description: Analysis on dataset formats, architecture backbones, saved model formats, performance, etc. of available object detection models. Identifying and automating stages like annotation, training, comparison, testing and prediction API deployment.Research and documentation of current state of the art models and methodologies in NLP, Speech and Computer Vision. Hands on task at the end for their experience.

Skills:  - 
Students Required: 6
Min CGPA: 0
Max CGPA: 0

"
77,40,5597,UST Global - Research/Blockchain,Trivandrum,IT,Any,Unavailable,"Project: 0
Title: Blockchain
Description: Research and documentation of the latest trends in Blockchain and different methodologies used. Experimenting with Blockchain platforms like Ethereum, Hyperledger Fabric, R3 Corda, etc. Building Blockchain use cases.
Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0

"
78,41,5958,UST Global - VLSI Design/Circuit Design,Trivandrum,Computer Science,A3,Unavailable,"Project: 0
Title: Quantum Compting-
Description: Research on the simulation of noisy quantum logic circuits using density matrix formalism.Implementation with the Qiskit framework.Research on hybrid quantum-classical computation for quantum machine learning using framework. Research on current state of the art models. Using this to design a framework for molecular docking.Research on hybrid quantum-classical computation for quantum machine learning using Pennylane framework. Research on current state of the art models. Using this to design a framework for molecular docking.

Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

"
51,42,5921,National Institute of Oceanography -Embedded Systems/IoT,Goa,Computer Science,"A3 , A8 , AA",Unavailable,"Project: 0
Title: 1) Mission planner of CBOT on basic QT-5 based GUI.
Description: 
-
Skills:  - 
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: 1) Video image processing from coral reef monitoring Robot (CBOT)
Description: -
Skills:  - 
Students Required: 1
Min CGPA: 0
Max CGPA: 0

"
44,43,5649,L&T Infotech- Research and study on IIOT,Mumbai,IT,Any,Unavailable,"Project: 0
Title: Research and study on IIOT
Description: L&T Infotech- Research

Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

"
17,44,5695,Convergent Technologies (Sequoia Fitness and Sports Technology Pvt Ltd) -Mobile App Development/Data Analytics,Gurgaon,IT,Any,Unavailable,"Project: 0
Title: Mobile App Development/Data Analytics
Description: TBDAny specific courses:- Programming in Java/.Net

Skills:  - 
Students Required: 5
Min CGPA: 0
Max CGPA: 0

"
25,45,4724,Elixar Systems - APP Development,New delhi,Computer Science,Any,"Status: Active
StationAddress: 
RemarkforAccommodation: Not Applicable
ContactDetailsForBoys: 
CompanyId: 4426
StartTime:  9:00AM
TillTime:  5:00PM
StipendForPG: 0
AccomAddressforBoys: Not Applicable
ToOffice: -
FieldDA: -
FieldTA: -
StationFacilitiesId: 9209
Accomodation: Not Applicable
SubsidizedLunch: -
Medical: -
Stationary: -
Travel: -
Stipend: 0
ContactDetailsForGirls: 
AccomAddressforGirls: Not Applicable
FacultyId: 0
OnOffice: -
Weekdays: 
OtherInfo: -
","Project: 0
Title: Business Development
Description: Working with BD team to bring 2. * Other competencies: Customer understanding experience, Basic economics understanding. * outcomes : Product development Experience- Market Dynomics- Team Work Basics- Quick Execution Skills
Skills:  Basic Software knowledge
Students Required: 2
Min CGPA: 0
Max CGPA: 0

"
21,46,5936,CSIR-National Aerospace Laboratories - VLSI Design/Circuit Design,Bengaluru,Electronics,"A3 , AA",Unavailable,"Project: 0
Title: Antenna-radome interaction
Description: -
Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: Equivalent circuit modelling of radar absorbing structures
Description: -
Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0

Project: 2
Title: Metamaterial based High Performance Antennas for Aerospace Platforms
Description: -
Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0

"
26,47,5523,Greendeck Cliff.ai-Full Stack Development,Indore,IT,"A3 , A7",Unavailable,"Project: 0
Title: Full-stack application
Description: Planning and development of features for customer facing as well as internal tools. * outcomes : End-to-end implementation of features on theCliff and Greendeck platform.

Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

"
32,48,4284,i-exceed technology solutions private limited,Bangalore,IT,A7,"StipendForPG: 0
OnOffice: -
StationFacilitiesId: 9171
StartTime:  9:00AM
Accomodation: Not Applicable
ToOffice: -
Medical: -
Travel: -
RemarkforAccommodation: Not Applicable
ContactDetailsForBoys: 
AccomAddressforGirls: Not Applicable
TillTime:  5:00PM
StationAddress: 
CompanyId: 3990
Status: Active
FieldDA: -
FieldTA: -
Stipend: 0
ContactDetailsForGirls: 
AccomAddressforBoys: Not Applicable
FacultyId: 0
Stationary: -
SubsidizedLunch: -
Weekdays: 
OtherInfo: -
","Project: 0
Title: -
Description: -
Skills:  - 
Students Required: 3
Min CGPA: 0
Max CGPA: 0

"
37,49,5951,Kizora Software Pvt. Ltd - App/AR/VR,Nagpur,Electronics,"A3 , A7",Unavailable,"Project: 0
Title: Software Development/App Development
Description: Software Development/App Development

Skills:  - 
Students Required: 5
Min CGPA: 0
Max CGPA: 0

"
9,50,5934,CEERI Pilani - Industrial Automation and Control,Pilani,Electronics,"A3 , A8 , AA",Unavailable,"Project: 0
Title: &Double;Control of BLDC motor for e-trike Pulse power supply design and its control&Double;
Description: -
Skills:  - 
Students Required: 3
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: &Double;Advanced Closed loop Control System to improve battery performance and longevity for electric Tricycle IOT and AI based smart water grid Community usage&Double;
Description: -
Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0

"
